id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	collected_token0	collected_token1	total_deposited_usd	total_profit_usd	apr_est_30d	price_lower	price_upper	price_range	price_mid
300961.0	-1.0	0.0	1.0	2103.25	4892.48	0.0	6995.7	6995.73	-0.031615	-0.00549834	0.9999	1.0	9.999e-05	0.99995
300984.0	-1.0	0.0	1.0	14568.8	33431.2	0.0	47999.8	48000.0	-0.221075	-0.00560364	0.9999	1.0	9.999e-05	0.99995
301070.0	-1.0	0.0	1.0	2049.0	4939.46	0.0	6988.43	6988.46	-0.030036	-0.00522916	0.9999	1.0	9.999e-05	0.99995
301130.0	-1.0	0.0	1.0	148319.0	321085.0	0.0	469401.0	469404.0	-2.36175	-0.00612152	0.9999	1.0	9.999e-05	0.99995
301161.0	-1.0	0.0	1.0	5525.41	10000.3	0.0	15525.6	15525.7	-0.098314	-0.00770435	0.9999	1.0	9.999e-05	0.99995
301243.0	-1.0	0.0	1.0	3661.76	6513.21	0.0	10174.9	10175.0	-0.065886	-0.00787828	0.9999	1.0	9.999e-05	0.99995
301290.0	-1.0	0.0	1.0	8016.31	14475.2	0.0	22491.4	22491.5	-0.142845	-0.00772712	0.9999	1.0	9.999e-05	0.99995
301329.0	-2.0	3.0	5.0	50926.8	24585.2	0.0	0.0	75512.0	-75512.0	-1216.67	0.9998	1.0003	0.0005	1.00005
301435.0	-1.0	0.0	1.0	71229.0	134180.0	0.0	205408.0	205409.0	-1.23489	-0.00731443	0.9999	1.0	9.999e-05	0.99995
301449.0	-1.0	0.0	1.0	6187.37	11929.3	0.0	18116.6	18116.7	-0.105651	-0.00709522	0.9999	1.0	9.999e-05	0.99995
301623.0	-1.0	0.0	1.0	8075.55	15838.0	0.0	23913.5	23913.6	-0.13635	-0.00693716	0.9999	1.0	9.999e-05	0.99995
301647.0	-1.0	0.0	1.0	4444.14	2653.33	0.0	7097.33	7097.47	-0.139126	-0.0238493	0.9999	1.0	9.999e-05	0.99995
301749.0	-1.0	0.0	1.0	5056.79	3051.0	0.0	8107.63	8107.79	-0.157682	-0.023662	0.9999	1.0	9.999e-05	0.99995
301876.0	-1.0	0.0	1.0	6458.91	3896.96	3200.82	7154.9	10355.9	-0.151941	-0.0178509	0.9999	1.0	9.999e-05	0.99995
302093.0	-1.0	0.0	1.0	101.749	93.3232	0.0	195.069	195.072	-0.002995	-0.0186799	0.9999	1.0	9.999e-05	0.99995
302364.0	-1.0	0.0	1.0	408.344	275.118	0.0	683.45	683.462	-0.012199	-0.0217161	0.9999	1.0	9.999e-05	0.99995
302383.0	-2.0	0.0	2.0	1.91704	4.5	1.91704	4.5	6.41704	-2e-06	-0.000379199	0.9998	1.0	0.00019997	0.9999
302408.0	-1.0	0.0	1.0	28985.0	19528.4	0.0	48512.5	48513.4	-0.865802	-0.0217134	0.9999	1.0	9.999e-05	0.99995
302431.0	-1.0	0.0	1.0	6237.9	4202.75	3224.27	7216.25	10440.7	-0.136549	-0.0159123	0.9999	1.0	9.999e-05	0.99995
302525.0	-1.0	0.0	1.0	54279.4	40450.0	0.0	94727.8	94729.4	-1.55495	-0.0199712	0.9999	1.0	9.999e-05	0.99995
302540.0	-1.0	0.0	1.0	3086.3	2300.0	0.0	5386.21	5386.3	-0.088414	-0.0199711	0.9999	1.0	9.999e-05	0.99995
302788.0	-1.0	0.0	1.0	1356.95	1964.29	0.0	3321.2	3321.23	-0.029274	-0.0107239	0.9999	1.0	9.999e-05	0.99995
303414.0	-1.0	0.0	1.0	1095.02	994.428	0.0	2089.42	2089.45	-0.028691	-0.0167065	0.9999	1.0	9.999e-05	0.99995
303427.0	-1.0	0.0	1.0	600.032	541.407	0.0	1141.42	1141.44	-0.015771	-0.0168104	0.9999	1.0	9.999e-05	0.99995
303436.0	-1.0	0.0	1.0	77579.9	69028.8	0.0	146607.0	146609.0	-2.05244	-0.0170327	0.9999	1.0	9.999e-05	0.99995
303466.0	-1.0	0.0	1.0	4997.63	4445.51	0.0	0.0	9443.15	-9443.15	-1216.67	0.9999	1.0	9.999e-05	0.99995
