wallet	ticks	apr	total_profit_usd	mid_deposited_usd	rebalances	in_range	rebalances_gap_hours	mid_duration_hours
0x788b8b3e7063d17fb0c6dfdbf26d45b82f51c82c	1	5.31	761.82	37445.03	69	77.71	4	11
0xbefe67542bab11de3ca315163a93afb116bfb119	1	5.29	1156.11	116617.90	29	69.34	1	20
0x6859da14835424957a1e6b397d8026b1d9ff7e1e	5	5.28	150.41	511165.40	2	77.50	0	21
0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	1	5.27	973.31	22111.35	240	73.43	18	9
0x8985d5c3465d07321e981f3289eae1789ee13c79	1	5.10	338.71	48544.09	30	67.27	0	24
0x977762a5d4f5b334ffe4eb4f05b2c6847ff7348d	1	4.99	336.50	58113.70	33	71.06	2	14
0xd5b71fa1e496d827f040912e02f7f6f47b5f1e7e	6	4.91	819.76	152240.99	2	61.00	0	472
0x60201f7c0774cba96e1db1a915ae1748da3faf12	1	4.82	4078.76	1692957.15	16	81.75	3	6
0x14ebe391c51e64ca9ed842d61b680bea10ccd5ca	1	4.73	107.99	15462.23	42	79.95	7	13
0x4e7958d7939381097470f33f2ef5b598c6965887	1	4.59	104.60	117338.19	5	98.60	3	2
0xbc6565913a8c36d110a59927b3f3aed9a94a43f7	1	4.54	1017.40	95581.77	66	77.82	2	12
0x02bb11ac6121de64fb931219712eb0073c182174	1	04.06	2302.72	292300.30	53	87.62	2	11
0x1dbfbe4f9796375d36613a3bf36c77265c0cc7aa	1	4.00	379.93	185661.65	11	86.55	24	27
0xd7e20a009c543eb011774762dc3dd084e17883ff	1	3.97	140.73	18286.49	66	81.24	1	13
0x9e0ef1bc1a3411001a30ea016faeab76d28bf8e3	1	3.72	504.01	56603.46	88	83.43	6	13
0x598f8e407ff0c1cd51a8851a2b2561413ec7dd1b	5	3.47	147.36	400011.23	2	81.00	0	16
0x83fe9748fac353106c5c988b93ce229f895e0b02	1	3.22	135.00	50978.62	9	92.22	83	18
0x01a0f8f364c2fec07cfcdebd2980da3f950d0410	1	3.11	132.63	31990.87	23	63.26	13	21
0xf431c4a9bc6befb800b665d0ab96688ef6c2f854	1	2.71	530.55	509470.94	6	18.17	0	46
0x60201f7c0774cba96e1db1a915ae1748da3faf12	3	2.68	549.96	1751470.82	3	100.00	1	3
0xde2f29139346eda24dabcce90b1ecf2d8ff7d829	1	2.60	146.62	32603.69	37	84.97	1	17
0x72b7448f470d07222dbf038407cd69cc380683f3	1	2.50	106.06	683402.22	2	70.00	0	3
0x60201f7c0774cba96e1db1a915ae1748da3faf12	4	2.22	160.70	2645918.55	1	100.00	0	2
0x7fe4b2632f5ae6d930677d662af26bc0a06672b3	2	1.50	423.41	793802.86	6	66.83	5	9
0x031f72deb03c509af42624ddcd1f63fce5ecb220	1	1.12	149.43	256368.32	5	73.40	104	51
0x60201f7c0774cba96e1db1a915ae1748da3faf12	2	0.97	108.54	875138.68	4	50.00	26	1
