id,owner,tick_lower,tick_upper,tick_width,category,deposited_token0,deposited_token1,collected_token0,collected_token1,total_deposited_usd,total_profit_usd,apr_est_30d,price_lower,price_upper,price_range,price_mid
294455,,-2,-1,1,1 tick,15474.411144,85512.144845,0.0,100984.889831,100986.555989,-1.6661580000072718,-0.020073552168960552,0.9998000299960005,0.9999000099990001,9.998000299960008e-05,0.9998500199975002
294501,,-2,-1,1,1 tick,6316.033112,29999.999999,0.0,36315.34666,36316.033111,-0.686450999994122,-0.022997612306391323,0.9998000299960005,0.9999000099990001,9.998000299960008e-05,0.9998500199975002
294630,,-3,2,5,2–5 ticks,3948.102237,2267.799424,0.0,6216.064374,6215.901661,0.16271299999971234,0.03184855458301038,0.9997000599900016,1.00020001,0.0004999500099983623,0.9999500349950008
294647,,-2,0,2,2–5 ticks,626.736232,439.355848,0.0,202.550495,1066.09208,-863.5415849999999,-985.5079889065491,0.9998000299960005,1.0,0.0001999700039995167,0.9999000149980002
294898,,-2,-1,1,1 tick,1137.80273,5759.67853,0.0,6897.358108,6897.4812600000005,-0.12315200000011828,-0.021723137430238876,0.9998000299960005,0.9999000099990001,9.998000299960008e-05,0.9998500199975002
294927,,-2,-1,1,1 tick,7473.100403,34323.052686,0.0,41795.339061,41796.153089,-0.8140280000006896,-0.023695978221374352,0.9998000299960005,0.9999000099990001,9.998000299960008e-05,0.9998500199975002
294929,,-2,-1,1,1 tick,187.19889,859.681452,0.0,1046.85995,1046.880342,-0.0203919999999016,-0.023699238271251203,0.9998000299960005,0.9999000099990001,9.998000299960008e-05,0.9998500199975002
295325,,-3,-1,2,2–5 ticks,79.937325,822.903456,82.827998,820.013123,902.840781,0.0003399999999373904,0.0004581834087426891,0.9997000599900016,0.9999000099990001,0.00019995000899852844,0.9998000349945009
295623,,-3,2,5,2–5 ticks,8760.904466,4999.403903,0.0,0.0,13760.308369,-13760.308369,-1216.6666666666665,0.9997000599900016,1.00020001,0.0004999500099983623,0.9999500349950008
295697,,-3,2,5,2–5 ticks,963.258001,549.607894,0.0,0.0,1512.865895,-1512.865895,-1216.6666666666665,0.9997000599900016,1.00020001,0.0004999500099983623,0.9999500349950008
296216,,-2,0,2,2–5 ticks,439.155226,401.00749,0.0,0.0,840.162716,-840.162716,-1216.6666666666665,0.9998000299960005,1.0,0.0001999700039995167,0.9999000149980002
296488,,-3,0,3,2–5 ticks,11345.492594,20997.196472,0.0,32342.092177,32342.689066,-0.5968890000003739,-0.022453759132968407,0.9997000599900016,1.0,0.00029994000999844506,0.9998500299950008
297246,,-2,0,2,2–5 ticks,855.0,780.596985,0.0,1635.552295,1635.5969850000001,-0.04469000000017331,-0.03324341743852272,0.9998000299960005,1.0,0.0001999700039995167,0.9999000149980002
297419,,-3,2,5,2–5 ticks,59.232046,37.995987,26.935493,70.291842,97.228033,-0.0006979999999856545,-0.008734449387820893,0.9997000599900016,1.00020001,0.0004999500099983623,0.9999500349950008
297585,,-2,0,2,2–5 ticks,4750.257213,4317.232698,0.0,9067.241086,9067.489911,-0.24882500000057917,-0.03338708797092567,0.9998000299960005,1.0,0.0001999700039995167,0.9999000149980002
